CO_FRAC_RA,Paraguay,Bolivia,Brasil,Peru,Colombia
11_13_6,6,5,1,6,1
11_13_7,5,1,1,8,0
11_13_8,5,3,0,0,0
11_13_9,10,4,0,44,0
11_14_1,11,8,2,0,2
11_14_2,8,5,2,9,0
11_14_3,6,10,2,9,0
11_14_4,4,6,4,5,0
11_14_5,5,4,4,2,2
11_14_6,4,6,0,14,1
11_14_7,10,6,3,8,0
11_15_1,5,15,1,1,0
11_15_10,9,30,3,0,0
11_15_11,11,31,0,11,0
11_15_2,9,34,3,0,0
11_15_3,16,25,2,11,0
11_15_4,8,19,1,5,0
11_15_5,12,3,0,3,1
11_15_6,15,9,1,0,0
11_15_7,10,5,2,4,0
11_15_8,11,9,3,26,0
11_15_9,4,4,1,23,2
11_16_1,10,3,2,0,0
11_16_10,12,31,0,19,0
11_16_2,9,10,1,7,0
11_16_3,6,6,0,20,0
11_16_4,5,15,0,12,0
11_16_5,7,9,0,13,0
11_16_6,8,14,4,23,0
11_16_7,25,0,0,0,0
11_16_8,9,21,0,14,0
11_16_9,4,2,1,8,0
11_17_1,6,22,0,8,0
11_17_2,9,20,2,1,0
11_17_3,4,14,0,13,3
11_17_4,5,50,4,6,0
11_17_5,4,7,0,21,1
11_17_6,6,48,2,41,1
11_17_7,14,74,0,37,0
11_17_8,16,53,0,24,0
11_18_1,4,20,0,5,0
11_18_2,7,19,1,19,0
11_18_3,7,38,1,7,0
11_18_4,21,59,1,17,1
11_18_5,11,27,3,12,0
11_18_6,11,8,0,5,2
11_18_7,41,47,3,28,1
11_18_8,28,46,1,49,0
11_18_9,9,36,0,22,0
11_19_1,4,13,0,5,0
11_19_2,6,15,0,4,0
11_19_3,5,16,5,3,0
11_19_4,14,15,2,40,0
11_19_5,11,19,1,5,0
11_19_6,15,23,4,17,1
11_19_7,18,42,1,28,2
11_19_8,26,38,3,36,0
11_19_9,16,15,2,10,2
11_2_1,9,15,0,1,1
11_2_10,5,1,0,6,0
11_2_11,9,3,10,2,0
11_2_2,12,10,0,6,0
11_2_3,8,1,1,1,0
11_2_4,2,0,0,1,0
11_2_5,8,1,2,7,0
11_2_6,1,0,1,5,0
11_2_7,3,1,2,5,0
11_2_8,5,3,2,1,1
11_2_9,1,2,1,4,3
11_20_1,13,6,1,32,0
11_20_10,16,5,3,2,0
11_20_11,12,23,1,10,2
11_20_2,7,2,1,26,0
11_20_3,30,15,2,43,0
11_20_4,9,26,1,20,2
11_20_5,10,14,4,13,0
11_20_6,6,31,0,16,0
11_20_7,7,6,3,17,0
11_20_8,5,15,2,23,0
11_20_9,4,9,0,0,1
11_21_1,17,11,1,27,0
11_21_10,4,29,1,67,3
11_21_11,18,17,7,34,5
11_21_2,12,29,3,12,0
11_21_3,12,4,1,7,1
11_21_4,6,3,2,25,1
11_21_5,23,5,0,11,4
11_21_6,24,5,1,9,1
11_21_7,10,4,1,14,0
11_21_8,11,0,3,9,1
11_21_9,8,1,0,4,0
11_22_1,10,23,0,24,0
11_22_10,10,20,6,12,0
11_22_11,4,20,0,19,0
11_22_2,23,15,1,85,0
11_22_3,15,44,1,9,0
11_22_4,19,11,2,7,3
11_22_5,10,24,2,16,1
11_22_6,5,25,3,47,0
11_22_7,6,4,2,3,1
11_22_8,11,9,1,17,0
11_22_9,11,10,1,36,1
11_3_1,8,1,0,3,0
11_3_10,13,0,3,4,0
11_3_11,7,0,1,4,0
11_3_12,9,0,0,1,1
11_3_2,10,0,1,3,0
11_3_3,5,1,1,3,0
11_3_4,4,0,1,5,0
11_3_5,1,1,4,7,0
11_3_6,6,0,0,3,0
11_3_7,5,1,2,6,1
11_3_8,11,2,1,4,0
11_3_9,3,4,3,0,0
11_4_1,10,2,0,0,1
11_4_10,4,10,0,11,0
11_4_11,3,5,0,9,1
11_4_12,1,4,0,5,0
11_4_13,6,0,0,4,1
11_4_2,6,2,1,6,1
11_4_3,6,1,2,0,1
11_4_4,12,4,0,4,0
11_4_5,6,1,2,1,3
11_4_6,4,0,0,4,0
11_4_7,1,0,0,1,0
11_4_8,2,2,4,0,4
11_4_9,3,2,3,10,0
11_5_1,23,7,1,2,0
11_5_10,1,4,2,2,0
11_5_2,7,5,0,0,1
11_5_3,7,2,1,0,0
11_5_4,3,1,3,1,0
11_5_5,4,7,0,0,0
11_5_6,6,5,2,0,1
11_5_7,2,2,0,4,0
11_5_8,4,4,0,1,0
11_5_9,6,2,0,2,0
11_6_1,4,0,0,2,0
11_6_10,8,8,0,11,2
11_6_11,9,0,1,1,1
11_6_2,4,1,0,4,1
11_6_3,3,1,2,5,1
11_6_4,4,19,0,3,0
11_6_5,5,26,0,7,1
11_6_6,6,7,1,2,0
11_6_7,3,7,3,4,0
11_6_8,4,0,0,4,0
11_6_9,6,19,0,0,2
11_7_1,64,61,9,149,16
11_7_10,4,1,0,4,2
11_7_11,1,1,0,5,0
11_7_12,5,12,4,2,1
11_7_2,3,0,0,4,0
11_7_3,5,0,4,1,1
11_7_4,1,3,1,5,0
11_7_5,6,0,2,3,0
11_7_6,6,2,3,5,0
11_7_7,7,0,2,2,2
11_7_8,6,2,1,9,0
11_7_9,3,2,1,7,0
11_8_1,8,3,0,6,0
11_8_2,2,1,3,1,0
11_8_3,8,0,0,0,1
11_8_4,5,4,2,1,1
11_8_5,3,0,0,2,0
11_8_6,1,2,2,6,1
11_8_7,4,25,3,4,0
11_8_8,3,1,1,5,0
11_8_9,5,0,0,2,1
11_9_1,10,4,1,10,0
11_9_10,8,0,1,1,1
11_9_11,10,0,0,4,0
11_9_12,4,2,3,2,2
11_9_2,1,0,0,0,0
11_9_3,10,1,3,1,0
11_9_4,4,1,1,3,1
11_9_5,12,0,1,7,0
11_9_6,3,0,4,1,0
11_9_7,11,2,1,8,0
11_9_8,6,1,3,2,0
11_9_9,5,1,1,2,0
12_1_1,7,0,1,4,0
12_1_10,5,1,1,6,0
12_1_11,6,2,1,11,3
12_1_2,2,0,0,0,0
12_1_3,4,1,0,3,0
12_1_4,10,1,3,24,0
12_1_5,2,0,1,13,0
