id;nhogar;miembro;comuna;dominio;edad;sexo;parentes_2;p5_2;p6_a;p6_b;estado;categori;t13;t14;t15;t18;t19;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40;t41_cod_2;t47;t48;t49;t50a;t50b;t50c;t50d;t50e;t50f;t51_bis;i1;i4;i6_3;i10;i11;codioph;ioph_2;codioph_neto;ioph_neto_2;codios;ios_2;codioa;ioa_2;codlab;inglab_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;e4;e6;e12;nivel;aesc;m1;m1_2;m2_anio;m3_anio;tipcob2_2;s2;sn4;sn5;sn16;s28;s29;fexp
2102;1;2;5;4;42;2;2;1;0;0;1;3;0;0;0;0;0;0;0;0;1;35.00;2;0;2;9402;8;3;2;4;10333;0;0;2;1;1;1;1;1;2;1;1;0;2;0;0;1;27000;1;27000;0;0;2;0;1;27000;2;0;1;27000;1;77000;25667;2;0;0;13;6;15;2;2;0;1998;2;1;3;5;2;1;1;322
2102;1;3;5;4;9;1;3;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;77000;25667;1;1;3;0;2;2;2;2;0;2009;2;1;3;5;1;0;0;322
2103;1;1;1;4;43;2;1;1;0;0;2;0;0;0;2;1;2017;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;12000;1;12000;1;22000;11000;2;0;0;13;7;17;4;4;2017;2017;1;3;3;5;2;1;4;114
2103;1;2;1;4;22;2;3;6;95;1;1;3;0;0;0;0;0;0;0;0;1;32.00;2;0;2;4807;3;2;2;2;30333;0;0;2;2;2;2;2;2;2;3;1;0;2;0;0;1;10000;1;10000;0;0;2;0;1;10000;2;0;1;10000;1;22000;11000;2;0;0;7;5;12;4;4;2018;2018;1;3;3;5;2;2;0;114
2104;1;1;1;4;43;2;1;5;0;0;1;3;0;0;0;0;0;0;0;0;1;40.00;2;0;2;1902;1;2;3;4;10202;0;0;2;1;1;1;1;1;1;1;1;0;2;0;0;9;28000;9;28000;0;0;2;0;9;28000;2;0;9;28000;9;41000;10250;2;0;0;13;7;17;2;2;0;1992;2;1;3;7;2;1;2;224
2104;1;2;1;4;67;2;6;5;0;0;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;13000;1;13000;9;41000;10250;2;0;0;12;7;15;2;2;0;2017;2;1;3;6;3;1;3;224
2104;1;3;1;4;1;1;3;0;95;1;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;41000;10250;3;0;0;0;8;0;1;1;0;1;2;1;1;7;1;0;0;224
2104;1;4;1;4;1;1;3;0;95;1;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;41000;10250;3;0;0;0;8;0;1;1;0;1;2;1;3;7;1;0;0;224
2105;1;1;14;4;43;2;1;2;0;0;1;3;0;0;0;0;0;0;0;0;1;40.00;2;0;2;6200;5;2;2;4;11331;0;0;2;1;1;1;1;1;2;1;1;0;2;0;0;1;35000;1;35000;0;0;2;0;1;35000;2;0;1;35000;1;105000;26250;2;0;0;13;6;16;1;1;0;1;3;1;3;6;3;1;2;372
2105;1;2;14;4;45;1;2;2;0;0;1;3;0;0;0;0;0;0;0;0;2;66.00;2;0;2;8600;7;1;2;4;40311;0;0;2;1;1;1;1;1;2;1;1;0;2;0;0;1;50000;1;50000;1;20000;2;0;1;70000;2;0;1;70000;1;105000;26250;2;0;0;13;7;17;1;1;0;1;3;1;3;6;2;0;0;372
2105;1;3;14;4;9;1;3;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;105000;26250;1;3;3;0;2;3;1;1;0;1;3;2;3;6;2;0;0;372
2105;1;4;14;4;4;2;3;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;105000;26250;1;3;18;0;1;0;1;1;0;1;3;3;3;6;2;0;0;372
2106;1;1;8;4;43;1;1;2;0;0;1;3;0;0;0;0;0;0;0;0;1;40.00;2;0;2;6900;5;2;2;2;10334;0;0;2;2;2;2;2;2;2;3;1;0;2;0;0;9;6000;9;6000;0;0;2;0;9;6000;2;0;9;6000;9;12800;4267;2;0;0;13;7;17;6;6;0;1;2;2;3;6;2;0;0;126
2106;1;2;8;4;39;2;2;2;0;0;2;0;0;0;3;1;2018;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;6800;1;6800;9;12800;4267;2;0;0;12;7;15;1;1;0;1;1;2;3;7;2;1;1;126
2106;1;3;8;4;2;2;3;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;12800;4267;3;0;0;0;8;0;1;1;0;1;2;1;3;5;1;0;0;126
2107;1;1;3;4;43;1;1;6;0;0;1;3;0;0;0;0;0;0;0;0;1;35.00;2;0;2;8401;6;1;2;3;10332;0;0;2;1;1;1;1;1;2;1;1;0;2;0;0;1;50000;1;50000;0;0;2;0;1;50000;2;0;1;50000;1;50000;50000;2;0;0;13;7;17;3;3;0;1995;2;2;1;5;2;0;0;324
2108;1;1;14;4;43;2;1;1;0;0;1;3;0;0;0;0;0;0;0;0;1;48.00;2;0;2;4808;3;2;2;3;20203;0;0;2;1;1;1;1;1;2;1;1;0;2;0;0;1;32000;1;32000;0;0;2;0;1;32000;2;0;1;32000;1;42000;8400;2;0;0;13;6;12;5;5;1995;1995;3;1;3;6;3;1;3;168
2108;1;2;14;4;48;1;2;1;0;0;1;2;0;0;0;0;0;0;0;0;1;48.00;2;0;2;4502;3;2;5;1;82113;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;10000;1;10000;0;0;2;0;1;10000;2;0;1;10000;1;42000;8400;2;0;0;15;3;7;5;5;1980;1980;3;1;3;6;3;0;0;168
2108;1;3;14;4;17;2;3;6;2;1;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;42000;8400;1;2;7;0;4;11;1;1;0;1;3;1;3;5;2;2;0;168
2108;1;4;14;4;12;2;3;0;2;1;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;42000;8400;1;1;3;0;2;6;1;1;0;1;3;2;3;6;2;0;0;168
2108;1;5;14;4;7;1;3;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;42000;8400;1;1;3;0;2;1;1;1;0;1;3;2;3;6;1;0;0;168
2109;1;1;12;4;43;2;1;1;0;0;1;3;0;0;0;0;0;0;0;0;1;45.00;2;0;2;8200;5;2;2;3;20333;0;0;2;1;1;1;1;1;2;1;1;0;2;0;0;9;14500;9;14500;0;0;2;0;9;14500;2;0;9;14500;9;44500;22250;2;0;0;13;6;16;1;1;0;1;3;1;1;6;3;2;0;191
2109;1;2;12;4;46;1;2;1;0;0;1;2;0;0;0;0;0;0;0;0;1;32.00;2;0;2;5601;3;2;2;2;53113;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;30000;1;30000;0;0;2;0;1;30000;2;0;1;30000;9;44500;22250;2;0;0;12;7;15;1;1;0;1;1;3;1;2;1;0;0;191
2110;1;1;6;4;43;1;1;6;0;0;1;3;0;0;0;0;0;0;0;0;1;40.00;2;0;2;4807;3;2;3;3;10333;0;0;2;1;1;1;1;1;2;1;1;0;2;0;0;9;30000;9;30000;0;0;2;0;9;30000;2;0;9;30000;9;30000;30000;2;0;0;13;6;16;1;1;0;1;3;1;3;6;3;0;0;290
2111;1;1;4;4;43;2;1;3;0;0;1;2;0;0;0;0;0;0;0;0;1;36.00;2;0;2;6900;5;2;2;1;11131;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;25000;1;25000;0;0;2;0;1;25000;1;5100;1;30100;1;30100;15050;2;0;0;13;7;17;1;1;0;1;2;3;3;5;1;1;1;162
2111;1;2;4;4;2;2;3;0;95;1;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30100;15050;1;1;16;0;1;0;1;1;0;1;2;1;3;7;1;0;0;162
2112;1;1;11;4;43;2;1;3;0;0;1;3;0;0;0;0;0;0;0;0;2;42.00;2;0;2;8401;6;1;2;4;10333;0;0;1;2;2;2;2;2;2;2;1;0;2;0;0;1;22000;1;22000;1;30000;2;0;1;52000;9;4000;9;56000;9;61000;20333;2;0;0;13;7;17;1;1;0;1;4;2;3;6;2;1;2;251
